HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:8319	OR5A1	olfactory receptor family 5 subfamily A member 1	Approved	OR5A1P	OST181	11q12.1	AB065804	NM_001004728	OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15249	OR5A2	olfactory receptor family 5 subfamily A member 2	Approved			11q12.1	AB065805	NM_001001954	OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15047	OR5AC1	olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)	Approved	OR5AC1P		3q11.2			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15431	OR5AC2	olfactory receptor family 5 subfamily AC member 2	Approved		HSA1	3q11.2	AF179759		OR5	"GPCR / Class A : Olfactory receptors"
HGNC:31284	OR5AC4P	olfactory receptor family 5 subfamily AC member 4 pseudogene	Approved			3q11.2			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:14714	OR5AH1P	olfactory receptor family 5 subfamily AH member 1 pseudogene	Approved			19q13.43	AC006115		OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15250	OR5AK1P	olfactory receptor family 5 subfamily AK member 1 pseudogene	Approved	OR5AK5P		11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15251	OR5AK2	olfactory receptor family 5 subfamily AK member 2	Approved			11q12.1	AB065496	NM_001005323	OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15252	OR5AK3P	olfactory receptor family 5 subfamily AK member 3 pseudogene	Approved	OR5AK3		11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15253	OR5AK4P	olfactory receptor family 5 subfamily AK member 4 pseudogene	Approved			11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:14844	OR5AL1	olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene)	Approved	OR5AL1P		11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:14850	OR5AL2P	olfactory receptor family 5 subfamily AL member 2 pseudogene	Approved			11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15254	OR5AM1P	olfactory receptor family 5 subfamily AM member 1 pseudogene	Approved			11q12.1		NG_004211	OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15255	OR5AN1	olfactory receptor family 5 subfamily AN member 1	Approved			11q12.1	AB065806	NM_001004729	OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15256	OR5AN2P	olfactory receptor family 5 subfamily AN member 2 pseudogene	Approved			11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:31285	OR5AO1P	olfactory receptor family 5 subfamily AO member 1 pseudogene	Approved			11q			OR5	"GPCR / Class A : Olfactory receptors"
HGNC:15257	OR5AP1P	olfactory receptor family 5 subfamily AP member 1 pseudogene	Approved			11q12.1			OR5	"GPCR / Class A : Olfactory receptors"
