HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:8318	OR52A1	olfactory receptor family 52 subfamily A member 1	Approved		HPFH1OR	11p15.4	AF154673	NM_012375	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:19579	OR52A4P	olfactory receptor family 52 subfamily A member 4 pseudogene	Approved	OR52A4		11p15.4		NG_029079	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:19580	OR52A5	olfactory receptor family 52 subfamily A member 5	Approved			11p15.4	BK004433	NM_001005160	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15206	OR52B1P	olfactory receptor family 52 subfamily B member 1 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15207	OR52B2	olfactory receptor family 52 subfamily B member 2	Approved			11p15.4	AB065763	NM_001004052	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15208	OR52B3P	olfactory receptor family 52 subfamily B member 3 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15209	OR52B4	olfactory receptor family 52 subfamily B member 4 (gene/pseudogene)	Approved			11p15.4	AB065792	NM_001005161	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15210	OR52B5P	olfactory receptor family 52 subfamily B member 5 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15211	OR52B6	olfactory receptor family 52 subfamily B member 6	Approved			11p15.4	AB065858	NM_001005162	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15212	OR52D1	olfactory receptor family 52 subfamily D member 1	Approved			11p15.4	BK004276	NM_001005163	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:14766	OR52E1	olfactory receptor family 52 subfamily E member 1 (gene/pseudogene)	Approved	OR52E1P		11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:14769	OR52E2	olfactory receptor family 52 subfamily E member 2	Approved			11p15.4	AB065800	NM_001005164	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:14793	OR52E3P	olfactory receptor family 52 subfamily E member 3 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15213	OR52E4	olfactory receptor family 52 subfamily E member 4	Approved			11p15.4	AB065817	NM_001005165	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15214	OR52E5	olfactory receptor family 52 subfamily E member 5	Approved			11p15.4	AB065536	NM_001005166	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15215	OR52E6	olfactory receptor family 52 subfamily E member 6	Approved			11p15.4	AB065815	NM_001005167	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15216	OR52E7P	olfactory receptor family 52 subfamily E member 7 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15217	OR52E8	olfactory receptor family 52 subfamily E member 8	Approved			11p15.4	BK004301	NM_001005168	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15218	OR52H1	olfactory receptor family 52 subfamily H member 1	Approved			11p15.4	AB065802	NM_001005289	OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15219	OR52H2P	olfactory receptor family 52 subfamily H member 2 pseudogene	Approved			11p15.4			OR52	"GPCR / Class A : Olfactory receptors"
HGNC:15220	OR52I1	olfactory receptor family 52 subfamily I member 1	Approved			11p15.4	BK004371	NM_001005169	OR52	"GPCR / Class A : Olfactory receptors"
