HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:8161	OR10A2	olfactory receptor family 10 subfamily A member 2	Approved	OR10A2P	OST363	11p15.4	BK004293	NM_001004460	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8162	OR10A3	olfactory receptor family 10 subfamily A member 3	Approved		HTPCRX12, HSHTPCRX12	11p15.4	BK004404	NM_001003745	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:15130	OR10A4	olfactory receptor family 10 subfamily A member 4	Approved	OR10A4P		11p15.4	AF209506	NM_207186	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:15131	OR10A5	olfactory receptor family 10 subfamily A member 5	Approved	OR10A1	OR11-403, JCG6	11p15.4	AF324499	NM_178168	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:15132	OR10A6	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	Approved			11p15.4	AB065515	NM_001004461	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:15329	OR10A7	olfactory receptor family 10 subfamily A member 7	Approved			12q13.2	BK004327		OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14989	OR10AA1P	olfactory receptor family 10 subfamily AA member 1 pseudogene	Approved			1q23.1			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14804	OR10AB1P	olfactory receptor family 10 subfamily AB member 1 pseudogene	Approved			11p15.4			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14758	OR10AC1	olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)	Approved	OR10AC1P		7q35			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14819	OR10AD1	olfactory receptor family 10 subfamily AD member 1	Approved	OR10AD1P		12q13.11			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14990	OR10AE1P	olfactory receptor family 10 subfamily AE member 1 pseudogene	Approved	OR10AE2P		1q23.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:31235	OR10AE3P	olfactory receptor family 10 subfamily AE member 3 pseudogene	Approved			12q13.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:19606	OR10AF1P	olfactory receptor family 10 subfamily AF member 1 pseudogene	Approved			11q12		NG_004298	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:19607	OR10AG1	olfactory receptor family 10 subfamily AG member 1	Approved			11q12.1	AB065594	NM_001005491	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:19647	OR10AH1P	olfactory receptor family 10 subfamily AH member 1 pseudogene	Approved			7p22.1		NG_004397	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:31236	OR10AK1P	olfactory receptor family 10 subfamily AK member 1 pseudogene	Approved			11q			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8163	OR10B1P	olfactory receptor family 10 subfamily B member 1 pseudogene	Approved	OR10B2		19p13.12	AC003956		OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8165	OR10C1	olfactory receptor family 10 subfamily C member 1 (gene/pseudogene)	Approved	OR10C2	hs6M1-17, OR10C1P	6p22.1			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8166	OR10D1P	olfactory receptor family 10 subfamily D member 1 pseudogene	Approved	OR10D2P	OST074, HTPCRX03	11q24.2	X64981		OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8168	OR10D3	olfactory receptor family 10 subfamily D member 3 (putative)	Approved	OR10D3P	HTPCRX09	11q24.2	X64983		OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14770	OR10D4P	olfactory receptor family 10 subfamily D member 4 pseudogene	Approved	OR10D4, OR10D6P		11q24.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14838	OR10D5P	olfactory receptor family 10 subfamily D member 5 pseudogene	Approved			11q24.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8169	OR10G1P	olfactory receptor family 10 subfamily G member 1 pseudogene	Approved			14q11.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8170	OR10G2	olfactory receptor family 10 subfamily G member 2	Approved			14q11.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:8171	OR10G3	olfactory receptor family 10 subfamily G member 3	Approved			14q11.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14809	OR10G4	olfactory receptor family 10 subfamily G member 4	Approved			11q24.2	AB065757	NM_001004462	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14811	OR10G5P	olfactory receptor family 10 subfamily G member 5 pseudogene	Approved			11q24.2			OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14836	OR10G6	olfactory receptor family 10 subfamily G member 6	Approved	OR10G6P	OR10G6Q	11q24.1	AB065508	NG_002255	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14842	OR10G7	olfactory receptor family 10 subfamily G member 7	Approved			11q24.2	AB065754	NM_001004463	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:14845	OR10G8	olfactory receptor family 10 subfamily G member 8	Approved			11q24.2	AB065755	NM_001004464	OR10	"GPCR / Class A : Olfactory receptors"
HGNC:15129	OR10G9	olfactory receptor family 10 subfamily G member 9	Approved	OR10G10P		11q24.2	AB065756	NM_001001953	OR10	"GPCR / Class A : Olfactory receptors"
