HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Unknown	Unknown
HGNC:8229	OR2A1	olfactory receptor family 2 subfamily A member 1	Approved			7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:8230	OR2A2	olfactory receptor family 2 subfamily A member 2	Approved	OR2A2P, OR2A17P	OST008	7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:8231	OR2A3P	olfactory receptor family 2 subfamily A member 3 pseudogene	Approved			7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:14729	OR2A4	olfactory receptor family 2 subfamily A member 4	Approved	OR2A10		6q23.2	AC005587	NM_030908	OR2	"GPCR / Class A : Olfactory receptors"
HGNC:8232	OR2A5	olfactory receptor family 2 subfamily A member 5	Approved	OR2A8, OR2A26	OR7-138, OR7-141	7q35	U86278		OR2	"GPCR / Class A : Olfactory receptors"
HGNC:8234	OR2A7	olfactory receptor family 2 subfamily A member 7	Approved		HSDJ0798C17	7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:8236	OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene	Approved	OR2A9	HSDJ0798C17	7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15082	OR2A12	olfactory receptor family 2 subfamily A member 12	Approved	OR2A12P		7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15083	OR2A13P	olfactory receptor family 2 subfamily A member 13 pseudogene	Approved			7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15084	OR2A14	olfactory receptor family 2 subfamily A member 14	Approved	OR2A14P, OR2A6	OST182	7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15085	OR2A15P	olfactory receptor family 2 subfamily A member 15 pseudogene	Approved	OR2A28P		7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15413	OR2A20P	olfactory receptor family 2 subfamily A member 20 pseudogene	Approved	OR2A20		7q35	AI084964		OR2	"GPCR / Class A : Olfactory receptors"
HGNC:19562	OR2A25	olfactory receptor family 2 subfamily A member 25	Approved	OR2A25P, OR2A27		7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:31246	OR2A41P	olfactory receptor family 2 subfamily A member 41 pseudogene	Approved			7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:31230	OR2A42	olfactory receptor family 2 subfamily A member 42	Approved			7q35			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:14749	OR2AD1P	olfactory receptor family 2 subfamily AD member 1 pseudogene	Approved		OR2AD1, hs6M1-8P	6p22.1	Z84476		OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15087	OR2AE1	olfactory receptor family 2 subfamily AE member 1	Approved	OR2AE2		7q22.1	AC011904		OR2	"GPCR / Class A : Olfactory receptors"
HGNC:14719	OR2AF1P	olfactory receptor family 2 subfamily AF member 1 pseudogene	Approved	OR2AF2P		Xq26.2			OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15142	OR2AG1	olfactory receptor family 2 subfamily AG member 1 (gene/pseudogene)	Approved	OR2AG3		11p15.4	AB065823	NM_001004489	OR2	"GPCR / Class A : Olfactory receptors"
HGNC:15143	OR2AG2	olfactory receptor family 2 subfamily AG member 2	Approved	OR2AG2P		11p15.4	AB065539	NM_001004490	OR2	"GPCR / Class A : Olfactory receptors"
